Comunidades y Ciudades Autónomas;Nacionalidad;Periodo;Total
Total Nacional;Ambas nacionalidades;2021;7,12
Total Nacional;Ambas nacionalidades;2020;7,19
Total Nacional;Ambas nacionalidades;2019;7,62
Total Nacional;Ambas nacionalidades;2018;7,94
Total Nacional;Ambas nacionalidades;2017;8,41
Total Nacional;Ambas nacionalidades;2016;8,80
Total Nacional;Ambas nacionalidades;2015;9,02
Total Nacional;Ambas nacionalidades;2014;9,17
Total Nacional;Ambas nacionalidades;2013;9,11
Total Nacional;Ambas nacionalidades;2012;9,69
Total Nacional;Ambas nacionalidades;2011;10,07
Total Nacional;Ambas nacionalidades;2010;10,42
Total Nacional;Ambas nacionalidades;2009;10,65
Total Nacional;Ambas nacionalidades;2008;11,28
Total Nacional;Ambas nacionalidades;2007;10,86
Total Nacional;Ambas nacionalidades;2006;10,85
Total Nacional;Ambas nacionalidades;2005;10,65
Total Nacional;Ambas nacionalidades;2004;10,57
Total Nacional;Ambas nacionalidades;2003;10,44
Total Nacional;Ambas nacionalidades;2002;10,08
Total Nacional;Española;2021;6,31
Total Nacional;Española;2020;6,28
Total Nacional;Española;2019;6,65
Total Nacional;Española;2018;7,01
Total Nacional;Española;2017;7,53
Total Nacional;Española;2016;7,95
Total Nacional;Española;2015;8,21
Total Nacional;Española;2014;8,37
Total Nacional;Española;2013;8,30
Total Nacional;Española;2012;8,82
Total Nacional;Española;2011;9,16
Total Nacional;Española;2010;9,38
Total Nacional;Española;2009;9,58
Total Nacional;Española;2008;10,10
Total Nacional;Española;2007;9,86
Total Nacional;Española;2006;10,02
Total Nacional;Española;2005;9,91
Total Nacional;Española;2004;9,86
Total Nacional;Española;2003;9,80
Total Nacional;Española;2002;9,51
Total Nacional;Extranjera;2021;13,51
Total Nacional;Extranjera;2020;14,39
Total Nacional;Extranjera;2019;15,72
Total Nacional;Extranjera;2018;16,27
Total Nacional;Extranjera;2017;16,75
Total Nacional;Extranjera;2016;16,97
Total Nacional;Extranjera;2015;16,71
Total Nacional;Extranjera;2014;16,59
Total Nacional;Extranjera;2013;16,05
Total Nacional;Extranjera;2012;16,78
Total Nacional;Extranjera;2011;17,24
Total Nacional;Extranjera;2010;18,46
Total Nacional;Extranjera;2009;18,69
Total Nacional;Extranjera;2008;20,34
Total Nacional;Extranjera;2007;19,27
Total Nacional;Extranjera;2006;18,86
Total Nacional;Extranjera;2005;18,57
Total Nacional;Extranjera;2004;19,74
Total Nacional;Extranjera;2003;19,99
Total Nacional;Extranjera;2002;21,02
01 Andalucía;Ambas nacionalidades;2021;7,72
01 Andalucía;Ambas nacionalidades;2020;7,72
01 Andalucía;Ambas nacionalidades;2019;8,21
01 Andalucía;Ambas nacionalidades;2018;8,45
01 Andalucía;Ambas nacionalidades;2017;8,89
01 Andalucía;Ambas nacionalidades;2016;9,43
01 Andalucía;Ambas nacionalidades;2015;9,60
01 Andalucía;Ambas nacionalidades;2014;9,80
01 Andalucía;Ambas nacionalidades;2013;9,71
01 Andalucía;Ambas nacionalidades;2012;10,30
01 Andalucía;Ambas nacionalidades;2011;10,72
01 Andalucía;Ambas nacionalidades;2010;11,10
01 Andalucía;Ambas nacionalidades;2009;11,48
01 Andalucía;Ambas nacionalidades;2008;12,28
01 Andalucía;Ambas nacionalidades;2007;11,93
01 Andalucía;Ambas nacionalidades;2006;12,03
01 Andalucía;Ambas nacionalidades;2005;11,76
01 Andalucía;Ambas nacionalidades;2004;11,64
01 Andalucía;Ambas nacionalidades;2003;11,42
01 Andalucía;Ambas nacionalidades;2002;11,01
01 Andalucía;Española;2021;7,30
01 Andalucía;Española;2020;7,23
01 Andalucía;Española;2019;7,66
01 Andalucía;Española;2018;7,95
01 Andalucía;Española;2017;8,43
01 Andalucía;Española;2016;8,98
01 Andalucía;Española;2015;9,19
01 Andalucía;Española;2014;9,40
01 Andalucía;Española;2013;9,30
01 Andalucía;Española;2012;9,87
01 Andalucía;Española;2011;10,25
01 Andalucía;Española;2010;10,56
01 Andalucía;Española;2009;10,91
01 Andalucía;Española;2008;11,65
01 Andalucía;Española;2007;11,39
01 Andalucía;Española;2006;11,65
01 Andalucía;Española;2005;11,46
01 Andalucía;Española;2004;11,27
01 Andalucía;Española;2003;11,13
01 Andalucía;Española;2002;10,78
01 Andalucía;Extranjera;2021;12,19
01 Andalucía;Extranjera;2020;13,10
01 Andalucía;Extranjera;2019;14,51
01 Andalucía;Extranjera;2018;14,52
01 Andalucía;Extranjera;2017;14,53
01 Andalucía;Extranjera;2016;14,98
01 Andalucía;Extranjera;2015;14,69
01 Andalucía;Extranjera;2014;14,66
01 Andalucía;Extranjera;2013;14,64
01 Andalucía;Extranjera;2012;15,38
01 Andalucía;Extranjera;2011;16,29
01 Andalucía;Extranjera;2010;17,46
01 Andalucía;Extranjera;2009;18,17
01 Andalucía;Extranjera;2008;19,94
01 Andalucía;Extranjera;2007;19,19
01 Andalucía;Extranjera;2006;17,77
01 Andalucía;Extranjera;2005;17,00
01 Andalucía;Extranjera;2004;19,56
01 Andalucía;Extranjera;2003;18,52
01 Andalucía;Extranjera;2002;17,96
02 Aragón;Ambas nacionalidades;2021;7,21
02 Aragón;Ambas nacionalidades;2020;6,83
02 Aragón;Ambas nacionalidades;2019;7,28
02 Aragón;Ambas nacionalidades;2018;7,58
02 Aragón;Ambas nacionalidades;2017;8,00
02 Aragón;Ambas nacionalidades;2016;8,30
02 Aragón;Ambas nacionalidades;2015;8,59
02 Aragón;Ambas nacionalidades;2014;8,73
02 Aragón;Ambas nacionalidades;2013;8,74
02 Aragón;Ambas nacionalidades;2012;8,94
02 Aragón;Ambas nacionalidades;2011;9,38
02 Aragón;Ambas nacionalidades;2010;9,63
02 Aragón;Ambas nacionalidades;2009;9,72
02 Aragón;Ambas nacionalidades;2008;10,23
02 Aragón;Ambas nacionalidades;2007;9,82
02 Aragón;Ambas nacionalidades;2006;9,57
02 Aragón;Ambas nacionalidades;2005;9,20
02 Aragón;Ambas nacionalidades;2004;9,21
02 Aragón;Ambas nacionalidades;2003;8,93
02 Aragón;Ambas nacionalidades;2002;8,51
02 Aragón;Española;2021;6,11
02 Aragón;Española;2020;5,78
02 Aragón;Española;2019;6,16
02 Aragón;Española;2018;6,43
02 Aragón;Española;2017;6,93
02 Aragón;Española;2016;7,19
02 Aragón;Española;2015;7,61
02 Aragón;Española;2014;7,70
02 Aragón;Española;2013;7,70
02 Aragón;Española;2012;7,82
02 Aragón;Española;2011;8,21
02 Aragón;Española;2010;8,23
02 Aragón;Española;2009;8,29
02 Aragón;Española;2008;8,70
02 Aragón;Española;2007;8,60
02 Aragón;Española;2006;8,54
02 Aragón;Española;2005;8,36
02 Aragón;Española;2004;8,46
02 Aragón;Española;2003;8,18
02 Aragón;Española;2002;7,95
02 Aragón;Extranjera;2021;15,55
02 Aragón;Extranjera;2020;14,12
02 Aragón;Extranjera;2019;15,59
02 Aragón;Extranjera;2018;16,86
02 Aragón;Extranjera;2017;16,87
02 Aragón;Extranjera;2016;17,59
02 Aragón;Extranjera;2015;16,62
02 Aragón;Extranjera;2014;17,00
02 Aragón;Extranjera;2013;16,51
02 Aragón;Extranjera;2012;17,00
02 Aragón;Extranjera;2011;17,70
02 Aragón;Extranjera;2010;19,44
02 Aragón;Extranjera;2009;19,45
02 Aragón;Extranjera;2008;21,13
02 Aragón;Extranjera;2007;20,02
02 Aragón;Extranjera;2006;19,98
02 Aragón;Extranjera;2005;19,11
02 Aragón;Extranjera;2004;20,11
02 Aragón;Extranjera;2003;22,05
02 Aragón;Extranjera;2002;20,93
03 Asturias, Principado de;Ambas nacionalidades;2021;4,74
03 Asturias, Principado de;Ambas nacionalidades;2020;4,70
03 Asturias, Principado de;Ambas nacionalidades;2019;5,05
03 Asturias, Principado de;Ambas nacionalidades;2018;5,60
03 Asturias, Principado de;Ambas nacionalidades;2017;5,84
03 Asturias, Principado de;Ambas nacionalidades;2016;6,12
03 Asturias, Principado de;Ambas nacionalidades;2015;6,18
03 Asturias, Principado de;Ambas nacionalidades;2014;6,26
03 Asturias, Principado de;Ambas nacionalidades;2013;6,28
03 Asturias, Principado de;Ambas nacionalidades;2012;7,12
03 Asturias, Principado de;Ambas nacionalidades;2011;7,24
03 Asturias, Principado de;Ambas nacionalidades;2010;7,21
03 Asturias, Principado de;Ambas nacionalidades;2009;7,63
03 Asturias, Principado de;Ambas nacionalidades;2008;7,65
03 Asturias, Principado de;Ambas nacionalidades;2007;7,33
03 Asturias, Principado de;Ambas nacionalidades;2006;7,14
03 Asturias, Principado de;Ambas nacionalidades;2005;7,04
03 Asturias, Principado de;Ambas nacionalidades;2004;6,80
03 Asturias, Principado de;Ambas nacionalidades;2003;6,69
03 Asturias, Principado de;Ambas nacionalidades;2002;6,34
03 Asturias, Principado de;Española;2021;4,41
03 Asturias, Principado de;Española;2020;4,29
03 Asturias, Principado de;Española;2019;4,65
03 Asturias, Principado de;Española;2018;5,20
03 Asturias, Principado de;Española;2017;5,50
03 Asturias, Principado de;Española;2016;5,78
03 Asturias, Principado de;Española;2015;5,84
03 Asturias, Principado de;Española;2014;5,96
03 Asturias, Principado de;Española;2013;5,92
03 Asturias, Principado de;Española;2012;6,75
03 Asturias, Principado de;Española;2011;6,84
03 Asturias, Principado de;Española;2010;6,77
03 Asturias, Principado de;Española;2009;7,20
03 Asturias, Principado de;Española;2008;7,22
03 Asturias, Principado de;Española;2007;6,97
03 Asturias, Principado de;Española;2006;6,86
03 Asturias, Principado de;Española;2005;6,73
03 Asturias, Principado de;Española;2004;6,54
03 Asturias, Principado de;Española;2003;6,46
03 Asturias, Principado de;Española;2002;6,17
03 Asturias, Principado de;Extranjera;2021;11,44
03 Asturias, Principado de;Extranjera;2020;12,99
03 Asturias, Principado de;Extranjera;2019;14,07
03 Asturias, Principado de;Extranjera;2018;15,05
03 Asturias, Principado de;Extranjera;2017;14,38
03 Asturias, Principado de;Extranjera;2016;14,94
03 Asturias, Principado de;Extranjera;2015;14,84
03 Asturias, Principado de;Extranjera;2014;13,68
03 Asturias, Principado de;Extranjera;2013;14,36
03 Asturias, Principado de;Extranjera;2012;15,08
03 Asturias, Principado de;Extranjera;2011;15,85
03 Asturias, Principado de;Extranjera;2010;17,03
03 Asturias, Principado de;Extranjera;2009;17,28
03 Asturias, Principado de;Extranjera;2008;18,34
03 Asturias, Principado de;Extranjera;2007;18,09
03 Asturias, Principado de;Extranjera;2006;17,10
03 Asturias, Principado de;Extranjera;2005;19,08
03 Asturias, Principado de;Extranjera;2004;18,28
03 Asturias, Principado de;Extranjera;2003;18,39
03 Asturias, Principado de;Extranjera;2002;17,10
04 Balears, Illes;Ambas nacionalidades;2021;7,81
04 Balears, Illes;Ambas nacionalidades;2020;7,78
04 Balears, Illes;Ambas nacionalidades;2019;8,08
04 Balears, Illes;Ambas nacionalidades;2018;8,75
04 Balears, Illes;Ambas nacionalidades;2017;8,88
04 Balears, Illes;Ambas nacionalidades;2016;9,29
04 Balears, Illes;Ambas nacionalidades;2015;9,38
04 Balears, Illes;Ambas nacionalidades;2014;9,53
04 Balears, Illes;Ambas nacionalidades;2013;9,46
04 Balears, Illes;Ambas nacionalidades;2012;9,96
04 Balears, Illes;Ambas nacionalidades;2011;10,28
04 Balears, Illes;Ambas nacionalidades;2010;11,00
04 Balears, Illes;Ambas nacionalidades;2009;11,17
04 Balears, Illes;Ambas nacionalidades;2008;12,02
04 Balears, Illes;Ambas nacionalidades;2007;11,62
04 Balears, Illes;Ambas nacionalidades;2006;11,83
04 Balears, Illes;Ambas nacionalidades;2005;11,44
04 Balears, Illes;Ambas nacionalidades;2004;11,68
04 Balears, Illes;Ambas nacionalidades;2003;11,86
04 Balears, Illes;Ambas nacionalidades;2002;12,03
04 Balears, Illes;Española;2021;7,02
04 Balears, Illes;Española;2020;6,81
04 Balears, Illes;Española;2019;6,92
04 Balears, Illes;Española;2018;7,71
04 Balears, Illes;Española;2017;7,87
04 Balears, Illes;Española;2016;8,30
04 Balears, Illes;Española;2015;8,51
04 Balears, Illes;Española;2014;8,71
04 Balears, Illes;Española;2013;8,40
04 Balears, Illes;Española;2012;8,81
04 Balears, Illes;Española;2011;9,15
04 Balears, Illes;Española;2010;9,58
04 Balears, Illes;Española;2009;9,52
04 Balears, Illes;Española;2008;10,33
04 Balears, Illes;Española;2007;10,34
04 Balears, Illes;Española;2006;10,64
04 Balears, Illes;Española;2005;10,32
04 Balears, Illes;Española;2004;10,67
04 Balears, Illes;Española;2003;10,82
04 Balears, Illes;Española;2002;11,01
04 Balears, Illes;Extranjera;2021;10,52
04 Balears, Illes;Extranjera;2020;11,18
04 Balears, Illes;Extranjera;2019;12,35
04 Balears, Illes;Extranjera;2018;12,81
04 Balears, Illes;Extranjera;2017;13,07
04 Balears, Illes;Extranjera;2016;13,43
04 Balears, Illes;Extranjera;2015;13,09
04 Balears, Illes;Extranjera;2014;13,01
04 Balears, Illes;Extranjera;2013;13,83
04 Balears, Illes;Extranjera;2012;14,56
04 Balears, Illes;Extranjera;2011;14,73
04 Balears, Illes;Extranjera;2010;16,42
04 Balears, Illes;Extranjera;2009;17,35
04 Balears, Illes;Extranjera;2008;18,58
04 Balears, Illes;Extranjera;2007;17,02
04 Balears, Illes;Extranjera;2006;17,45
04 Balears, Illes;Extranjera;2005;17,45
04 Balears, Illes;Extranjera;2004;17,91
04 Balears, Illes;Extranjera;2003;19,19
04 Balears, Illes;Extranjera;2002;21,18
05 Canarias;Ambas nacionalidades;2021;5,67
05 Canarias;Ambas nacionalidades;2020;5,87
05 Canarias;Ambas nacionalidades;2019;6,37
05 Canarias;Ambas nacionalidades;2018;6,75
05 Canarias;Ambas nacionalidades;2017;7,29
05 Canarias;Ambas nacionalidades;2016;7,54
05 Canarias;Ambas nacionalidades;2015;7,59
05 Canarias;Ambas nacionalidades;2014;7,74
05 Canarias;Ambas nacionalidades;2013;7,52
05 Canarias;Ambas nacionalidades;2012;8,22
05 Canarias;Ambas nacionalidades;2011;8,40
05 Canarias;Ambas nacionalidades;2010;8,92
05 Canarias;Ambas nacionalidades;2009;9,32
05 Canarias;Ambas nacionalidades;2008;10,28
05 Canarias;Ambas nacionalidades;2007;10,03
05 Canarias;Ambas nacionalidades;2006;10,75
05 Canarias;Ambas nacionalidades;2005;10,73
05 Canarias;Ambas nacionalidades;2004;10,51
05 Canarias;Ambas nacionalidades;2003;10,83
05 Canarias;Ambas nacionalidades;2002;11,24
05 Canarias;Española;2021;5,40
05 Canarias;Española;2020;5,49
05 Canarias;Española;2019;5,97
05 Canarias;Española;2018;6,38
05 Canarias;Española;2017;6,96
05 Canarias;Española;2016;7,21
05 Canarias;Española;2015;7,28
05 Canarias;Española;2014;7,44
05 Canarias;Española;2013;7,22
05 Canarias;Española;2012;7,78
05 Canarias;Española;2011;7,97
05 Canarias;Española;2010;8,38
05 Canarias;Española;2009;8,70
05 Canarias;Española;2008;9,65
05 Canarias;Española;2007;9,57
05 Canarias;Española;2006;10,30
05 Canarias;Española;2005;10,29
05 Canarias;Española;2004;10,18
05 Canarias;Española;2003;10,47
05 Canarias;Española;2002;10,76
05 Canarias;Extranjera;2021;7,02
05 Canarias;Extranjera;2020;7,83
05 Canarias;Extranjera;2019;8,50
05 Canarias;Extranjera;2018;8,91
05 Canarias;Extranjera;2017;9,34
05 Canarias;Extranjera;2016;9,67
05 Canarias;Extranjera;2015;9,60
05 Canarias;Extranjera;2014;9,70
05 Canarias;Extranjera;2013;9,46
05 Canarias;Extranjera;2012;11,06
05 Canarias;Extranjera;2011;11,18
05 Canarias;Extranjera;2010;12,36
05 Canarias;Extranjera;2009;13,26
05 Canarias;Extranjera;2008;14,40
05 Canarias;Extranjera;2007;13,24
05 Canarias;Extranjera;2006;14,25
05 Canarias;Extranjera;2005;14,37
05 Canarias;Extranjera;2004;13,67
05 Canarias;Extranjera;2003;14,76
05 Canarias;Extranjera;2002;17,53
06 Cantabria;Ambas nacionalidades;2021;5,63
06 Cantabria;Ambas nacionalidades;2020;5,85
06 Cantabria;Ambas nacionalidades;2019;6,10
06 Cantabria;Ambas nacionalidades;2018;6,55
06 Cantabria;Ambas nacionalidades;2017;7,09
06 Cantabria;Ambas nacionalidades;2016;7,30
06 Cantabria;Ambas nacionalidades;2015;7,50
06 Cantabria;Ambas nacionalidades;2014;7,79
06 Cantabria;Ambas nacionalidades;2013;8,21
06 Cantabria;Ambas nacionalidades;2012;8,57
06 Cantabria;Ambas nacionalidades;2011;9,03
06 Cantabria;Ambas nacionalidades;2010;9,46
06 Cantabria;Ambas nacionalidades;2009;9,58
06 Cantabria;Ambas nacionalidades;2008;10,13
06 Cantabria;Ambas nacionalidades;2007;9,39
06 Cantabria;Ambas nacionalidades;2006;9,27
06 Cantabria;Ambas nacionalidades;2005;9,44
06 Cantabria;Ambas nacionalidades;2004;9,18
06 Cantabria;Ambas nacionalidades;2003;8,94
06 Cantabria;Ambas nacionalidades;2002;8,47
06 Cantabria;Española;2021;5,24
06 Cantabria;Española;2020;5,39
06 Cantabria;Española;2019;5,62
06 Cantabria;Española;2018;6,12
06 Cantabria;Española;2017;6,69
06 Cantabria;Española;2016;6,90
06 Cantabria;Española;2015;7,08
06 Cantabria;Española;2014;7,37
06 Cantabria;Española;2013;7,82
06 Cantabria;Española;2012;8,10
06 Cantabria;Española;2011;8,51
06 Cantabria;Española;2010;8,89
06 Cantabria;Española;2009;8,97
06 Cantabria;Española;2008;9,50
06 Cantabria;Española;2007;8,80
06 Cantabria;Española;2006;8,89
06 Cantabria;Española;2005;9,09
06 Cantabria;Española;2004;8,84
06 Cantabria;Española;2003;8,66
06 Cantabria;Española;2002;8,20
06 Cantabria;Extranjera;2021;11,41
06 Cantabria;Extranjera;2020;12,75
06 Cantabria;Extranjera;2019;13,68
06 Cantabria;Extranjera;2018;13,98
06 Cantabria;Extranjera;2017;14,21
06 Cantabria;Extranjera;2016;14,74
06 Cantabria;Extranjera;2015;15,01
06 Cantabria;Extranjera;2014;15,01
06 Cantabria;Extranjera;2013;14,43
06 Cantabria;Extranjera;2012;15,53
06 Cantabria;Extranjera;2011;16,71
06 Cantabria;Extranjera;2010;17,79
